phenotype	phenotype_display_name	category
db_fear_level_unknown_human_away_from_home	db_fear_level_unknown_human_away_from_home	Dog
db_fear_level_unknown_human_touch	db_fear_level_unknown_human_touch	Dog
db_fear_level_unknown_objects_outside	db_fear_level_unknown_objects_outside	Dog
db_fear_level_unknown_situations	db_fear_level_unknown_situations	Dog
db_hyperactive_frequency	db_hyperactive_frequency	Dog
db_left_alone_barking_frequency	db_left_alone_barking_frequency	Dog
db_left_alone_restlessness_frequency	db_left_alone_restlessness_frequency	Dog
db_left_alone_scratching_frequency	db_left_alone_scratching_frequency	Dog
db_playful_frequency	db_playful_frequency	Dog
db_pulls_leash_frequency	db_pulls_leash_frequency	Dog
db_training_distraction_frequency	db_training_distraction_frequency	Dog
db_training_obeys_sit_command_frequency	db_training_obeys_sit_command_frequency	Dog
db_training_obeys_stay_command_frequency	db_training_obeys_stay_command_frequency	Dog
de_air_cleaner_present	de_air_cleaner_present	Dog
de_air_freshener_present	de_air_freshener_present	Dog
de_drinks_outdoor_water	de_drinks_outdoor_water	Dog
de_drinks_outdoor_water_frequency	de_drinks_outdoor_water_frequency	Dog
de_eats_feces	de_eats_feces	Dog
de_eats_grass_frequency	de_eats_grass_frequency	Dog
de_gas_fireplace_present	de_gas_fireplace_present	Dog
de_hepa_present	de_hepa_present	Dog
de_incense_present	de_incense_present	Dog
de_interacts_with_neighborhood_animals	de_interacts_with_neighborhood_animals	Dog
de_interacts_with_neighborhood_humans	de_interacts_with_neighborhood_humans	Dog
de_licks_chews_or_plays_with_non_toys	de_licks_chews_or_plays_with_non_toys	Dog
de_recent_toxins_or_hazards_ingested_frequency	de_recent_toxins_or_hazards_ingested_frequency	Dog
de_wood_fireplace_present	de_wood_fireplace_present	Dog
df_appetite	df_appetite	Diet
df_daily_supplements	df_daily_supplements	Diet
df_ever_overweight	df_ever_overweight	Diet
df_feedings_per_day	df_feedings_per_day	Diet
df_secondary_diet_component_used	df_secondary_diet_component_used	Diet
df_treats_frequency	df_treats_frequency	Diet
hs_chronic_condition_present	hs_chronic_condition_present	Health
hs_chronic_condition_recently_changed_or_treated	hs_chronic_condition_recently_changed_or_treated	Health
hs_general_health	hs_general_health	Health
hs_new_condition_diagnosed_last_month	hs_new_condition_diagnosed_last_month	Health
mp_dental_extraction	mp_dental_extraction	Medication
mp_dental_procedure_undergone	mp_dental_procedure_undergone	Medication
pa_activity_level	pa_activity_level	Physical
pa_avg_activity_intensity	pa_avg_activity_intensity	Physical
pa_avg_daily_active_hours	pa_avg_daily_active_hours	Physical
pa_cold_weather_daily_hours_outside	pa_cold_weather_daily_hours_outside	Physical
pa_hot_weather_daily_hours_outside	pa_hot_weather_daily_hours_outside	Physical
pa_moderate_weather_daily_hours_outside	pa_moderate_weather_daily_hours_outside	Physical
pa_off_leash_walk_avg_hours	pa_off_leash_walk_avg_hours	Physical
pa_off_leash_walk_frequency	pa_off_leash_walk_frequency	Physical
pa_off_leash_walk_in_enclosed_area	pa_off_leash_walk_in_enclosed_area	Physical
pa_off_leash_walk_in_open_area	pa_off_leash_walk_in_open_area	Physical
pa_off_leash_walk_returns_when_called_frequency	pa_off_leash_walk_returns_when_called_frequency	Physical
pa_on_leash_walk_avg_hours	pa_on_leash_walk_avg_hours	Physical
pa_on_leash_walk_frequency	pa_on_leash_walk_frequency	Physical
pa_other_aerobic_activity_avg_hours	pa_other_aerobic_activity_avg_hours	Physical
pa_other_aerobic_activity_avg_intensity	pa_other_aerobic_activity_avg_intensity	Physical
pa_other_aerobic_activity_frequency	pa_other_aerobic_activity_frequency	Physical
pa_physical_games_frequency	pa_physical_games_frequency	Physical
pa_swim	pa_swim	Physical
pa_swim_cold_weather_frequency	pa_swim_cold_weather_frequency	Physical
pa_swim_hot_weather_frequency	pa_swim_hot_weather_frequency	Physical
pa_swim_moderate_weather_frequency	pa_swim_moderate_weather_frequency	Physical
dd_weight_lbs	dd_weight_lbs	Dog
de_daytime_sleep_avg_hours	de_daytime_sleep_avg_hours	Dog
de_nighttime_sleep_avg_hours	de_nighttime_sleep_avg_hours	Dog
pa_off_leash_walk_average_pace_pct	pa_off_leash_walk_average_pace_pct	Physical
pa_off_leash_walk_brisk_pace_pct	pa_off_leash_walk_brisk_pace_pct	Physical
pa_off_leash_walk_run_pace_pct	pa_off_leash_walk_run_pace_pct	Physical
pa_on_leash_walk_average_pace_pct	pa_on_leash_walk_average_pace_pct	Physical
pa_on_leash_walk_brisk_pace_pct	pa_on_leash_walk_brisk_pace_pct	Physical
1-Methylnicotinamide	1-Methylnicotinamide	Pyridine
1-3-Methylhistidine	1-3-Methylhistidine	Amino
2-Aminoadipate	2-Aminoadipate	Amino
2-Deoxycytidine	2-Deoxycytidine	Pyrimidines
2-Hydroxyglutarate	2-Hydroxyglutarate	Fatty
2-Hydroxyisobutyrate-2-Hydroxybutyrate	2-Hydroxyisobutyrate-2-Hydroxybutyrate	Fatty
3-Hydroxyisovaleric-Acid	3-Hydroxyisovaleric-Acid	Fatty
3-Indoxyl-Sulfate	3-Indoxyl-Sulfate	Tryptophan
3-Methyl-3-Hydroxyglutaric-Acid	3-Methyl-3-Hydroxyglutaric-Acid	Fatty
3HBA	3HBA	Fatty
4-Guanidinobutanoate	4-Guanidinobutanoate	Amino
4-Hydroxybenzoic-Acid	4-Hydroxybenzoic-Acid	Phenolic
5-Aminovaleric-Acid	5-Aminovaleric-Acid	Fatty
5-Methylcytidine	5-Methylcytidine	Pyrimidines
5-6-Dihydrouracil	5-6-Dihydrouracil	Pyrimidines
7-Methylguanine	7-Methylguanine	Purines
Acetylcarnitine	Acetylcarnitine	Fatty
Adenosine	Adenosine	Purines
Adenylosuccinate	Adenylosuccinate	Purines
Agmatine	Agmatine	Ornithine
Alanine	Alanine	Amino
Allantoin	Allantoin	Ureas
Alpha-Ketoglutaric-Acid	Alpha-Ketoglutaric-Acid	TCA
alpha-Tocopherol	alpha-Tocopherol	Quinones
Aminolevulinate	Aminolevulinate	Fatty
Anserine	Anserine	Amino
Arabitol-Xylitol	Arabitol-Xylitol	Monosaccharides
Arachidonate	Arachidonate	Fatty
Arginine	Arginine	Amino
Asparagine	Asparagine	Amino
Aspartic-Acid	Aspartic-Acid	Amino
Azelaic-Acid	Azelaic-Acid	Fatty
Betaine	Betaine	Amino
Cadaverine	Cadaverine	Fatty
Carnitine	Carnitine	Carnitines
Carnosine	Carnosine	Amino
Cholesteryl-Sulfate	Cholesteryl-Sulfate	Sterols
Choline	Choline	Cholines
Citraconic-Acid	Citraconic-Acid	Fatty
Citrulline	Citrulline	Amino
Creatine	Creatine	Amino
Creatinine	Creatinine	Azoles
Cystathionine	Cystathionine	Amino
Cystine	Cystine	Amino
Cytidine	Cytidine	Pyrimidines
D-Leucic-Acid	D-Leucic-Acid	Fatty
Deoxycarnitine	Deoxycarnitine	Fatty
Dimethylarginine-A-SDMA	Dimethylarginine-A-SDMA	Amino
Dimethylglycine	Dimethylglycine	Amino
Epinephrine	Epinephrine	Tyrosine
Ethanolamine	Ethanolamine	Amines
Ethylmalonic-acid	Ethylmalonic-acid	Fatty
FAD	FAD	Flavins
G6P	G6P	Monosaccharides
gamma-Aminobutyrate	gamma-Aminobutyrate	Fatty
Glucoronate	Glucoronate	Monosaccharides
Glucose	Glucose	Monosaccharides
Glutamic-acid	Glutamic-acid	Amino
Glutamine	Glutamine	Amino
Glutaric-Acid	Glutaric-Acid	Fatty
Glutarylcarnitine	Glutarylcarnitine	Fatty
Glyceraldehyde	Glyceraldehyde	Monosaccharides
Glycerol-3-P	Glycerol-3-P	Organic
Glycerophosphocholine	Glycerophosphocholine	Organic
Glycine	Glycine	Amino
Guanidinoacetate	Guanidinoacetate	Amino
Histidine	Histidine	Amino
Homoarginine	Homoarginine	Amino
Homocitrulline	Homocitrulline	Amino
Hydroxyproline	Hydroxyproline	Amino
Hypotaurine	Hypotaurine	Sulfinic
Hypoxanthine	Hypoxanthine	Purines
Imidazole-Propionate	Imidazole-Propionate	Histidine
Indole-3-Acetic-Acid	Indole-3-Acetic-Acid	Tryptophan
Indole-3-Lactate	Indole-3-Lactate	Tryptophan
Indole-3-Propionate	Indole-3-Propionate	Tryptophan
Inositol	Inositol	Alcohols
iso-Leucine--allo-isoLeucine	iso-Leucine--allo-isoLeucine	Unclassified
isoValerylcarnitine	isoValerylcarnitine	Fatty
Kynurenic-Acid	Kynurenic-Acid	Anthranilic
L-Kynurenine	L-Kynurenine	Amino
Lactate	Lactate	Short-chain
Leucine--D-Norleucine	Leucine--D-Norleucine	Amino
Linoleic-Acid	Linoleic-Acid	Fatty
Linolenic-Acid	Linolenic-Acid	Fatty
Lysine	Lysine	Amino
Maleic-Acid	Maleic-Acid	Fatty
Margaric-Acid	Margaric-Acid	Fatty
Methionine	Methionine	Amino
Methionine-Sulfoxide	Methionine-Sulfoxide	Amino
N2-N2-Dimethylguanosine	N2-N2-Dimethylguanosine	Purines
N6-Acetyl-Lysine	N6-Acetyl-Lysine	Amino
N6-Trimethyllysine	N6-Trimethyllysine	Amino
N-Ac-Alanine	N-Ac-Alanine	Amino
N-Ac-Glutamate	N-Ac-Glutamate	Amino
N-Ac-L-Glutamine	N-Ac-L-Glutamine	Amino
N-Ac-Phenylalanine	N-Ac-Phenylalanine	Amino
N-Ac-Tryptophan	N-Ac-Tryptophan	Unclassified
N-Acetyl-Aspartate-NAA	N-Acetyl-Aspartate-NAA	Amino
N-AcetylGlycine	N-AcetylGlycine	Amino
N-Acetylneuraminate	N-Acetylneuraminate	Monosaccharides
N-Carbamoyl-B-Alanine	N-Carbamoyl-B-Alanine	Organic
n-Formylmethionine	n-Formylmethionine	Amino
Ornithine	Ornithine	Amino
Orotate	Orotate	Pyrimidines
Oxalacetate	Oxalacetate	TCA
Oxidized-Glutathione	Oxidized-Glutathione	Amino
Palmitic-Acid	Palmitic-Acid	Fatty
Pantothenate	Pantothenate	Amino
Phenylacetylglutamine	Phenylacetylglutamine	Amino
Phenylalanine	Phenylalanine	Amino
Phenyllactic-Acid	Phenyllactic-Acid	Phenylpropanoids
PPA	PPA	Phenylpropanoids
Proline	Proline	Amino
Pseudouridine	Pseudouridine	Pyrimidines
Pyroglutamic-Acid	Pyroglutamic-Acid	Amino
Pyruvate	Pyruvate	Short-chain
Reduced-Glutathione	Reduced-Glutathione	Amino
Riboflavin	Riboflavin	Alloxazines
S-Methylcysteine	S-Methylcysteine	Amino
SAH	SAH	Purines
Sarcosine	Sarcosine	Amino
Serine	Serine	Amino
Suberic-Acid	Suberic-Acid	Fatty
Succinate	Succinate	TCA
Succinylcarnitine	Succinylcarnitine	Fatty
Taurine	Taurine	Sulfonic
Thiamine	Thiamine	Pyrimidines
Threonine	Threonine	Amino
Trigonelline	Trigonelline	Pyridine
Trimethylamine-N-Oxide-TMAO	Trimethylamine-N-Oxide-TMAO	Amine
Tryptophan	Tryptophan	Amino
Tyrosine	Tyrosine	Amino
Uracil	Uracil	Pyrimidines
Urate	Urate	Purines
Valine	Valine	Amino
Xanthine	Xanthine	Purines
krt_cbc_total_wbcs_sqrt_transformed	total white blood cells	Complete Blood Count (CBC)
krt_cbc_abs_neutrophils_sqrt_transformed	absolute neutrophils	Complete Blood Count (CBC)
krt_cbc_abs_lymphocytes_sqrt_transformed	absolute lymphocytes	Complete Blood Count (CBC)
krt_cbc_abs_monocytes_sqrt_transformed	absolute monocytes	Complete Blood Count (CBC)
krt_cbc_abs_eosinophils_sqrt_transformed	absolute eosinophils	Complete Blood Count (CBC)
krt_cbc_rel_lymphocytes_sqrt_transformed	relative lymphocytes	Complete Blood Count (CBC)
krt_cbc_rel_monocytes_sqrt_transformed	relative monocytes	Complete Blood Count (CBC)
krt_cbc_rel_eosinophils_sqrt_transformed	relative eosinophils	Complete Blood Count (CBC)
krt_cbc_rbc_sqrt_transformed	red blood cells	Complete Blood Count (CBC)
krt_cbc_hgb_sqrt_transformed	hemoglobin	Complete Blood Count (CBC)
krt_cbc_hct_sqrt_transformed	hematocrit	Complete Blood Count (CBC)
krt_cbc_mcv_sqrt_transformed	mean corpuscular volume	Complete Blood Count (CBC)
krt_cbc_mch_sqrt_transformed	mean corpuscular hemoglobin	Complete Blood Count (CBC)
krt_cbc_mchc_sqrt_transformed	mean corpuscular hemoglobin concentration	Complete Blood Count (CBC)
krt_cbc_mpv_sqrt_transformed	mean platelet volume	Complete Blood Count (CBC)
krt_cbc_rdw_sqrt_transformed	red blood cell width distribution	Complete Blood Count (CBC)
krt_cbc_plt_sqrt_transformed	platelet	Complete Blood Count (CBC)
krt_cbc_pct_sqrt_transformed	plateletcrit	Complete Blood Count (CBC)
krt_cbc_retic_abs_sqrt_transformed	absolute reticulocytes	Complete Blood Count (CBC)
krt_cp_total_protein_value_ln_transformed	total protein	Blood Chemistry Panel
krt_cp_albumin_value_ln_transformed	albumin	Blood Chemistry Panel
krt_cp_globulins_value_ln_transformed	globulins	Blood Chemistry Panel
krt_cp_alb_glob_ratio_value_ln_transformed	albumin globulin ratio	Blood Chemistry Panel
krt_cp_magnesium_value_ln_transformed	magnesium	Blood Chemistry Panel
krt_cp_bun_value_ln_transformed	blood urea nitrogen	Blood Chemistry Panel
krt_cp_creatinine_value_ln_transformed	creatinine	Blood Chemistry Panel
krt_cp_bilirubin_total_value_ln_transformed	total bilirubin	Blood Chemistry Panel
krt_cp_alkp_value_ln_transformed	alkaline phosphatase	Blood Chemistry Panel
krt_cp_alt_value_ln_transformed	alanine aminotransferase	Blood Chemistry Panel
krt_cp_amylase_value_ln_transformed	amylase	Blood Chemistry Panel
krt_cp_cholesterol_value_ln_transformed	cholesterol	Blood Chemistry Panel
krt_cp_sodium_value_ln_transformed	sodium	Blood Chemistry Panel
krt_cp_potassium_value_ln_transformed	potassium	Blood Chemistry Panel
krt_cp_sp_ratio_value_ln_transformed	sodium potassium ratio	Blood Chemistry Panel
